trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.7979759645793801
2012_1,1,2,1,0.1289057558507274
2012_1,1,3,1,0.05325743200506009
2012_1,1,4,1,0.019860847564832383
2012_1,1,1,2,0.08739684921230308
2012_1,1,2,2,0.7368925564724514
2012_1,1,3,2,0.1452029674085188
2012_1,1,4,2,0.030507626906726683
2012_1,1,1,3,0.011878457367621017
2012_1,1,2,3,0.05832667324839766
2012_1,1,3,3,0.9121965743657249
2012_1,1,4,3,0.01759829501825647
2012_1,1,1,4,0.0963855421686747
2012_1,1,2,4,0.23958691910499139
2012_1,1,3,4,0.3707401032702238
2012_1,1,4,4,0.29328743545611013
2012_2,1,1,1,0.8225477470795476
2012_2,1,2,1,0.1176216082576179
2012_2,1,3,1,0.04549106866926263
2012_2,1,4,1,0.014339575993571914
2012_2,1,1,2,0.0862438787486341
2012_2,1,2,2,0.757821036869157
2012_2,1,3,2,0.13116678133473633
2012_2,1,4,2,0.02476830304747258
2012_2,1,1,3,0.008551769824899502
2012_2,1,2,3,0.04841987985365633
2012_2,1,3,3,0.9270841174964995
2012_2,1,4,3,0.01594423282494467
2012_2,1,1,4,0.09295302013422818
2012_2,1,2,4,0.24496644295302014
2012_2,1,3,4,0.34731543624161076
2012_2,1,4,4,0.31476510067114094
2012_3,1,1,1,0.8211631763188602
2012_3,1,2,1,0.117607320518332
2012_3,1,3,1,0.044340723453908985
2012_3,1,4,1,0.016888779708898852
2012_3,1,1,2,0.08214811181951938
2012_3,1,2,2,0.7695765898316168
2012_3,1,3,2,0.12342651626614354
2012_3,1,4,2,0.02484878208272029
2012_3,1,1,3,0.008925020987054302
2012_3,1,2,3,0.048763604765902295
2012_3,1,3,3,0.9265821293391655
2012_3,1,4,3,0.015729244907877877
2012_3,1,1,4,0.09128065395095368
2012_3,1,2,4,0.22649863760217984
2012_3,1,3,4,0.34945504087193463
2012_3,1,4,4,0.33276566757493187
2012_4,1,1,1,0.8111470830952834
2012_4,1,2,1,0.12048498698660573
2012_4,1,3,1,0.04849869866057259
2012_4,1,4,1,0.019869231257538245
2012_4,1,1,2,0.0823065549531789
2012_4,1,2,2,0.7520124856251027
2012_4,1,3,2,0.1362740266140956
2012_4,1,4,2,0.029406932807622802
2012_4,1,1,3,0.008435571017348337
2012_4,1,2,3,0.046965195572864556
2012_4,1,3,3,0.9272047165309484
2012_4,1,4,3,0.017394516878838723
2012_4,1,1,4,0.0841874084919473
2012_4,1,2,4,0.2382869692532943
2012_4,1,3,4,0.35651537335285505
2012_4,1,4,4,0.3210102489019034
2013_1,1,1,1,0.803835372069317
2013_1,1,2,1,0.12608307849133538
2013_1,1,3,1,0.05052242609582059
2013_1,1,4,1,0.019559123343527014
2013_1,1,1,2,0.09059836099328748
