unit,n_int,N,share,at_least,algorithm
Individuals,1,1326155,0.167221189366076,1,stage3
Individuals,2,1005467,0.126784114683684,0.832778810633924,stage3
Individuals,3,900131,0.113501797606822,0.70599469595024,stage3
Individuals,4,1048791,0.132247043834572,0.592492898343418,stage3
Individuals,5,3650000,0.460245854508846,0.460245854508846,stage3
Households,1,174426,0.0723278850854681,1,stage3
Households,2,189279,0.0784868641205573,0.927672114914532,stage3
Households,3,230280,0.0954884327880109,0.849185250793975,stage3
Households,4,351833,0.145891878465799,0.753696818005964,stage3
Households,5,1465783,0.607804939540164,0.607804939540164,stage3
