group,rows,rate,first,last
Panel_01.parquet,1128820,97.904537481618,20121,20124
Panel_02.parquet,2822124,99.0885588301577,20121,20141
Panel_03.parquet,2866552,98.688912672786,20132,20152
Panel_04.parquet,2854047,97.9263130565124,20143,20163
Panel_05.parquet,2846903,95.1724733859917,20154,20174
Panel_06.parquet,2804315,95.4952278898769,20171,20191
Panel_07.parquet,2719103,96.6962634368761,20182,20202
Panel_08.parquet,2006518,97.0364581827823,20193,20213
Panel_09.parquet,2134882,94.2831032347455,20204,20224
Panel_10.parquet,2375804,95.2897629602442,20221,20241
Panel_11.parquet,2390743,97.4325136578879,20232,20252
Panel_12.parquet,2131264,97.9300546530134,20243,20261
Panel_13.parquet,323841,94.4139253522562,20254,20261
