qtr,n,p_col,exit,psus
20121,163486,0.142470590557811,0.097486170118206,11937
20122,170903,0.14182692100289,0.0916399402631151,11943
20123,170330,0.141242660001033,0.0923716273432863,11944
20124,169612,0.14220227852446,0.102853575432548,11978
20131,170738,0.147338607136939,0.0984105725950264,12008
20132,171660,0.145151263112768,0.0981423763162702,11991
20133,173793,0.14833370067929,0.0932479228571081,12040
20134,174805,0.148587188097083,0.10112142004939,12031
20141,175337,0.153700668782118,0.0907984161276813,12028
20142,178121,0.156002658140505,0.0879869604772163,12055
20143,179089,0.153386490777829,0.0863131420198988,12026
20144,178704,0.161484138782595,0.100281990282046,12082
20151,177773,0.165543372961443,0.0930068024297288,12054
20152,178148,0.166927331919316,0.0900873570796438,12046
20153,174128,0.171375862724791,0.103228639490757,12050
20154,172894,0.170893412591271,0.110124604702331,12030
20161,170818,0.181126402048075,0.107540471361906,12067
20162,170502,0.178024140170903,0.109254340496099,12068
20163,167652,0.18039200000577,0.101827000721936,12061
20164,167302,0.189585878457873,0.112989001507441,12055
20171,164368,0.184344509455796,0.0979137637462177,12029
20172,166563,0.18647779128307,0.098032214381404,12069
20173,166530,0.186617840289024,0.0952585012112463,12058
20174,166738,0.186522841000699,0.105339951637126,12049
20181,163878,0.197244642477957,0.099460345239754,12052
20182,164360,0.196842661227026,0.0908496846026696,12030
20183,166945,0.19663485616349,0.0923232909907255,12070
20184,166219,0.200245912858032,0.10372921053698,12059
20191,164214,0.203760661971731,0.0936951519280684,12048
20192,167449,0.20532876635573,0.0947227884317243,12051
20193,166586,0.202437471130552,0.09125678638809,12023
20194,156885,0.208442856794594,0.106377660111401,11957
20201,126921,0.227737484887255,0.127550897793905,11452
20202,95785,0.244684682345323,0.0949147252548995,10760
20203,91990,0.250636261130261,0.0525284622090266,11006
20204,84865,0.246788131889437,0.0645097447798366,10662
20211,81186,0.247617047413437,0.056440167997692,10671
20212,97659,0.239275151637394,0.0471844732961459,11220
20213,118529,0.222827847456676,0.0502269163670579,11678
20214,128843,0.223221927460765,0.119341393855404,11873
20221,133987,0.22588612841335,0.0981585621451147,11890
20222,144244,0.221109421440862,0.0972734275819105,12017
20223,145338,0.227546453398011,0.0924785708159322,12002
20224,142361,0.227389784603741,0.101744734496012,11951
20231,139129,0.231068321834894,0.0910469786934208,11937
20232,143014,0.232315397795165,0.0898060320375099,11926
20233,145785,0.231844330464603,0.0908068023227162,11994
20234,147396,0.2364367902605,0.100778850630284,12014
20241,148343,0.238271349918722,0.0883473037290666,12008
20242,151072,0.239583393663345,0.0844325962550034,12005
20243,149665,0.237526638835415,0.0845482788991711,12019
20244,149486,0.239014765212517,0.0966930981008793,12060
