trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.8207969790092712
2012_1,1,1,2,0.11403873133124535
2012_1,1,1,3,0.046272582873804646
2012_1,1,1,4,0.018891706785678822
2012_1,1,2,1,0.09203550474494977
2012_1,1,2,2,0.7411650846742759
2012_1,1,2,3,0.13222982961986568
2012_1,1,2,4,0.03456958096090863
2012_1,1,3,1,0.012353134023413665
2012_1,1,3,2,0.05134491040222873
2012_1,1,3,3,0.9176488482741161
2012_1,1,3,4,0.018653107300241514
2012_1,1,4,1,0.10754418474871288
2012_1,1,4,2,0.22124228399429138
2012_1,1,4,3,0.3673181908314521
2012_1,1,4,4,0.30389534042554356
2012_2,1,1,1,0.8412491230929657
2012_2,1,1,2,0.10064973810368306
2012_2,1,1,3,0.04254179088129989
2012_2,1,1,4,0.015559347922051318
2012_2,1,2,1,0.0953580501982073
2012_2,1,2,2,0.7546547610589607
2012_2,1,2,3,0.12190824736315821
2012_2,1,2,4,0.028078941379673827
2012_2,1,3,1,0.008893005710369627
2012_2,1,3,2,0.042634808336591466
2012_2,1,3,3,0.9312063239263744
2012_2,1,3,4,0.017265862026664497
2012_2,1,4,1,0.09717478110677469
2012_2,1,4,2,0.23989483783471313
2012_2,1,4,3,0.33616560879976815
2012_2,1,4,4,0.326764772258744
2012_3,1,1,1,0.8341375818528067
2012_3,1,1,2,0.1036196238161918
2012_3,1,1,3,0.04143074181914582
2012_3,1,1,4,0.020812052511855663
2012_3,1,2,1,0.08598406214488757
2012_3,1,2,2,0.7682762449359843
2012_3,1,2,3,0.1174086894641488
2012_3,1,2,4,0.02833100345497933
2012_3,1,3,1,0.009040015380234277
2012_3,1,3,2,0.04324738364300485
2012_3,1,3,3,0.9297264481632392
2012_3,1,3,4,0.017986152813521658
2012_3,1,4,1,0.09349865549938229
2012_3,1,4,2,0.22219688374428787
2012_3,1,4,3,0.3332674391222444
2012_3,1,4,4,0.35103702163408546
2012_4,1,1,1,0.8263168994220913
2012_4,1,1,2,0.10760528988165877
2012_4,1,1,3,0.045122609069316075
2012_4,1,1,4,0.02095520162693383
2012_4,1,2,1,0.08737448400964513
2012_4,1,2,2,0.7507401471227904
2012_4,1,2,3,0.12741530195210243
2012_4,1,2,4,0.034470066915462054
2012_4,1,3,1,0.00826258751363458
2012_4,1,3,2,0.0414719530054204
2012_4,1,3,3,0.9296279716068585
2012_4,1,3,4,0.020637487874086535
2012_4,1,4,1,0.09111009403654806
2012_4,1,4,2,0.2182459163424842
2012_4,1,4,3,0.35133935766296515
2012_4,1,4,4,0.3393046319580026
2013_1,1,1,1,0.8261298763008854
2013_1,1,1,2,0.11125253072014152
2013_1,1,1,3,0.04182615692011166
2013_1,1,1,4,0.020791436058861402
2013_1,1,2,1,0.09885208036201436
2013_1,1,2,2,0.7473270996235334
2013_1,1,2,3,0.12318540730593261
2013_1,1,2,4,0.030635412708519664
2013_1,1,3,1,0.010611163763795223
2013_1,1,3,2,0.04684828728781141
2013_1,1,3,3,0.9231743976540222
2013_1,1,3,4,0.019366151294371158
2013_1,1,4,1,0.10667888398889275
2013_1,1,4,2,0.2564209562547375
2013_1,1,4,3,0.3460215660939415
2013_1,1,4,4,0.2908785936624282
2013_2,1,1,1,0.8267794233496049
2013_2,1,1,2,0.11794684171787181
2013_2,1,1,3,0.03991180907311849
2013_2,1,1,4,0.015361925859404818
2013_2,1,2,1,0.10352633148619007
2013_2,1,2,2,0.7351095643987965
2013_2,1,2,3,0.13502450361953858
2013_2,1,2,4,0.026339600495474857
2013_2,1,3,1,0.009828538178501215
2013_2,1,3,2,0.045703160367225285
2013_2,1,3,3,0.9281561599287828
2013_2,1,3,4,0.016312141525490743
2013_2,1,4,1,0.10554180911430527
2013_2,1,4,2,0.2365139160766648
2013_2,1,4,3,0.3576066112461213
2013_2,1,4,4,0.30033766356290864
