trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,19283328.4637146
2012_1,1,1,2,423797.3369178772
2012_1,1,1,3,218857.1169204712
2012_1,1,1,4,384900.24520492554
2012_1,1,1,5,83098.49071502686
2012_1,1,1,6,728408.8161773682
2012_1,1,1,7,0
2012_1,1,1,8,0
2012_1,1,1,9,25904.08827972412
2012_1,1,1,10,23114.611328125
2012_1,1,2,1,432436.63035964966
2012_1,1,2,2,355631.4556083679
2012_1,1,2,3,128052.18899917603
2012_1,1,2,4,146063.80564022064
2012_1,1,2,5,4711.989479064941
2012_1,1,2,6,106448.51231765747
2012_1,1,2,7,0
2012_1,1,2,8,0
2012_1,1,2,9,7369.290512084961
2012_1,1,2,10,7456.542839050293
2012_1,1,3,1,211575.22774887085
2012_1,1,3,2,116431.81275177002
2012_1,1,3,3,4135546.3898887634
2012_1,1,3,4,231566.70930671692
2012_1,1,3,5,41517.63257598877
2012_1,1,3,6,116209.55897521973
2012_1,1,3,7,0
2012_1,1,3,8,0
2012_1,1,3,9,34074.26654815674
2012_1,1,3,10,10350.973983764648
2012_1,1,4,1,316279.5558452606
2012_1,1,4,2,147845.40712356567
2012_1,1,4,3,291003.10666561127
2012_1,1,4,4,1467624.9447250366
2012_1,1,4,5,30983.32053375244
2012_1,1,4,6,351104.1056776047
2012_1,1,4,7,0
2012_1,1,4,8,0
2012_1,1,4,9,4190.0808029174805
2012_1,1,4,10,15063.88851928711
2012_1,1,5,1,70166.90149307251
2012_1,1,5,2,8602.621315002441
2012_1,1,5,3,31990.320289611816
2012_1,1,5,4,43086.44764709473
2012_1,1,5,5,544013.7269124985
2012_1,1,5,6,275634.516456604
2012_1,1,5,7,0
2012_1,1,5,8,0
2012_1,1,5,9,652.7770233154297
2012_1,1,5,10,461.67778396606445
2012_1,1,6,1,688111.5659751892
2012_1,1,6,2,115519.92974090576
2012_1,1,6,3,129882.17999267578
2012_1,1,6,4,407472.62567710876
