trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.8643887785915859
2012_1,1,1,2,0.13561122140841406
2012_1,1,2,1,0.13046292274208815
2012_1,1,2,2,0.8695370772579119
2012_2,1,1,1,0.8741804441652429
2012_2,1,1,2,0.12581955583475712
2012_2,1,2,1,0.10864510611286063
2012_2,1,2,2,0.8913548938871394
2012_3,1,1,1,0.8750857426088254
2012_3,1,1,2,0.12491425739117461
2012_3,1,2,1,0.10630973776851294
2012_3,1,2,2,0.8936902622314871
2012_4,1,1,1,0.8649876181089763
2012_4,1,1,2,0.13501238189102377
2012_4,1,2,1,0.10214291596979856
2012_4,1,2,2,0.8978570840302015
2013_1,1,1,1,0.867991957151536
2013_1,1,1,2,0.13200804284846396
2013_1,1,2,1,0.12007222094245074
2013_1,1,2,2,0.8799277790575493
2013_2,1,1,1,0.8676656780220569
2013_2,1,1,2,0.13233432197794318
2013_2,1,2,1,0.1143376434636599
2013_2,1,2,2,0.8856623565363401
2013_3,1,1,1,0.8748966118671526
2013_3,1,1,2,0.12510338813284735
2013_3,1,2,1,0.11344887427700114
2013_3,1,2,2,0.8865511257229989
2013_4,1,1,1,0.8636566706076068
2013_4,1,1,2,0.13634332939239327
2013_4,1,2,1,0.10446837751976312
2013_4,1,2,2,0.8955316224802369
2014_1,1,1,1,0.8748584851364112
2014_1,1,1,2,0.12514151486358885
2014_1,1,2,1,0.1123202373001587
2014_1,1,2,2,0.8876797626998413
2014_2,1,1,1,0.8749261700958906
2014_2,1,1,2,0.12507382990410945
2014_2,1,2,1,0.10397164531841294
2014_2,1,2,2,0.896028354681587
2014_3,1,1,1,0.8770829319251467
2014_3,1,1,2,0.12291706807485327
2014_3,1,2,1,0.10451872251703524
2014_3,1,2,2,0.8954812774829648
2014_4,1,1,1,0.8637591875657106
2014_4,1,1,2,0.1362408124342894
2014_4,1,2,1,0.10045941923822183
2014_4,1,2,2,0.8995405807617781
2015_1,1,1,1,0.8706593778215413
2015_1,1,1,2,0.12934062217845863
2015_1,1,2,1,0.10447769762684571
2015_1,1,2,2,0.8955223023731543
2015_2,1,1,1,0.8731180219318497
2015_2,1,1,2,0.12688197806815033
2015_2,1,2,1,0.09887769346489332
2015_2,1,2,2,0.9011223065351067
2015_3,1,1,1,0.852301522638967
2015_3,1,1,2,0.147698477361033
2015_3,1,2,1,0.1050392568278812
2015_3,1,2,2,0.8949607431721188
2015_4,1,1,1,0.8493172002336018
2015_4,1,1,2,0.1506827997663982
2015_4,1,2,1,0.10048906842019717
2015_4,1,2,2,0.8995109315798029
2016_1,1,1,1,0.8482312551605534
2016_1,1,1,2,0.1517687448394466
2016_1,1,2,1,0.10985571237219006
2016_1,1,2,2,0.89014428762781
2016_2,1,1,1,0.8405731439759339
2016_2,1,1,2,0.15942685602406612
2016_2,1,2,1,0.09953309906804764
2016_2,1,2,2,0.9004669009319524
2016_3,1,1,1,0.8507705543706613
2016_3,1,1,2,0.1492294456293387
2016_3,1,2,1,0.09892929115396283
2016_3,1,2,2,0.9010707088460371
2016_4,1,1,1,0.8412466773207142
2016_4,1,1,2,0.15875332267928574
2016_4,1,2,1,0.09355981535243255
2016_4,1,2,2,0.9064401846475675
2017_1,1,1,1,0.8557154138564304
2017_1,1,1,2,0.1442845861435697
2017_1,1,2,1,0.103245143664187
2017_1,1,2,2,0.896754856335813
2017_2,1,1,1,0.8546598040862736
2017_2,1,1,2,0.14534019591372635
2017_2,1,2,1,0.1040578179248621
2017_2,1,2,2,0.8959421820751379
2017_3,1,1,1,0.854254175422028
2017_3,1,1,2,0.14574582457797197
2017_3,1,2,1,0.09764146373338284
