trim,educ,posicao_inicial,posicao_final,transition
2012_1,1,1,1,0.820349520349026
2012_1,1,2,1,0.09814189270337328
2012_1,1,3,1,0.02093032040813606
2012_1,1,1,2,0.11319436573666573
2012_1,1,2,2,0.7338147599463045
2012_1,1,3,2,0.06245164530925642
2012_1,1,1,3,0.0664561139143083
2012_1,1,2,3,0.16804334735032214
2012_1,1,3,3,0.9166180342826076
2012_2,1,1,1,0.8402835535919215
2012_2,1,2,1,0.1037487986691331
2012_2,1,3,1,0.015877328926172555
2012_2,1,1,2,0.10102080682711781
2012_2,1,2,2,0.7444110018000898
2012_2,1,3,2,0.05460583291270697
2012_2,1,1,3,0.05869563958096068
2012_2,1,2,3,0.1518401995307771
2012_2,1,3,3,0.9295168381611205
2012_3,1,1,1,0.8306575608470997
2012_3,1,2,1,0.09542847382929365
2012_3,1,3,1,0.016288930532630783
2012_3,1,1,2,0.10450469102187705
2012_3,1,2,2,0.7579632117845627
2012_3,1,3,2,0.053473526019344145
2012_3,1,1,3,0.06483774813102325
2012_3,1,2,3,0.1466083143861436
2012_3,1,3,3,0.9302375434480251
2012_4,1,1,1,0.8239154229031694
2012_4,1,2,1,0.0967116603009112
2012_4,1,3,1,0.015050963532333617
2012_4,1,1,2,0.10743337016954287
2012_4,1,2,2,0.739431060079662
2012_4,1,3,2,0.05046538891823038
2012_4,1,1,3,0.06865120692728768
2012_4,1,2,3,0.16385727961942684
2012_4,1,3,3,0.934483647549436
2013_1,1,1,1,0.8229783253874629
2013_1,1,2,1,0.110992895841405
2013_1,1,3,1,0.01928169888523436
2013_1,1,1,2,0.11252597780580914
2013_1,1,2,2,0.7341374525755842
2013_1,1,3,2,0.059906860785731715
2013_1,1,1,3,0.06449569680672801
2013_1,1,2,3,0.15486965158301083
2013_1,1,3,3,0.920811440329034
2013_2,1,1,1,0.823424629628025
2013_2,1,2,1,0.11353319853470697
2013_2,1,3,1,0.018257890698828626
2013_2,1,1,2,0.11598363635831374
2013_2,1,2,2,0.7247986734055815
2013_2,1,3,2,0.05780884915787335
2013_2,1,1,3,0.06059173401366124
2013_2,1,2,3,0.16166812805971156
2013_2,1,3,3,0.923933260143298
2013_3,1,1,1,0.8247341411262356
2013_3,1,2,1,0.11220620880283566
2013_3,1,3,1,0.016934945006544785
2013_3,1,1,2,0.11545485179772037
2013_3,1,2,2,0.739905985441048
2013_3,1,3,2,0.05711582565223964
2013_3,1,1,3,0.05981100707604411
2013_3,1,2,3,0.14788780575611632
2013_3,1,3,3,0.9259492293412156
2013_4,1,1,1,0.8159912879549952
2013_4,1,2,1,0.10854792781208676
2013_4,1,3,1,0.016550640131642685
2013_4,1,1,2,0.11286080113930443
2013_4,1,2,2,0.7248636858645467
2013_4,1,3,2,0.0517187823868639
2013_4,1,1,3,0.07114791090570032
2013_4,1,2,3,0.16658838632336648
2013_4,1,3,3,0.9317305774814935
2014_1,1,1,1,0.8202452290589959
2014_1,1,2,1,0.11591142507664617
2014_1,1,3,1,0.01851303932096421
2014_1,1,1,2,0.11218517982446535
2014_1,1,2,2,0.7322522222335249
2014_1,1,3,2,0.05581365448683323
